1,"canSpoof(controlAction12)","OR",0
2,"RULE 2 (Access transport network)","AND",1
3,"transportsFlow(shRouter,controlAction12)","LEAF",1
4,"netAccess(shRouter,_,_)","OR",0
5,"RULE 8 (multi-hop access)","AND",1
6,"hacl(genPLC,shRouter,_,_)","LEAF",1
7,"execCode(genPLC,root)","OR",0
8,"RULE 5 (remote exploit of a server program)","AND",0.2
9,"netAccess(genPLC,_,_)","OR",0
10,"RULE 8 (multi-hop access)","AND",1
11,"hacl(mainPLC,genPLC,_,_)","LEAF",1
12,"execCode(mainPLC,user)","OR",0
13,"RULE 5 (remote exploit of a server program)","AND",0.2
14,"netAccess(mainPLC,_,_)","OR",0
15,"RULE 8 (multi-hop access)","AND",1
16,"hacl(genPLC,mainPLC,_,_)","LEAF",1
17,"RULE 8 (multi-hop access)","AND",1
18,"execCode(genPLC,user)","OR",0
19,"RULE 5 (remote exploit of a server program)","AND",0.2
20,"networkServiceInfo(genPLC,dropbearssh,_,_,user)","LEAF",1
21,"cvss(cve2016_7406,h)","LEAF",1
22,"vulExists(genPLC,cve2016_7406,dropbearssh,remoteExploit,privEscalation)","LEAF",1
23,"RULE 5 (remote exploit of a server program)","AND",0.2
24,"cvss(cve2016_7407,h)","LEAF",1
25,"vulExists(genPLC,cve2016_7407,dropbearssh,remoteExploit,privEscalation)","LEAF",1
26,"RULE 5 (remote exploit of a server program)","AND",0.2
27,"cvss(cve2016_7408,h)","LEAF",1
28,"vulExists(genPLC,cve2016_7408,dropbearssh,remoteExploit,privEscalation)","LEAF",1
29,"RULE 8 (multi-hop access)","AND",1
30,"hacl(mgPLC,mainPLC,_,_)","LEAF",1
31,"execCode(mgPLC,root)","OR",0
32,"RULE 5 (remote exploit of a server program)","AND",0.2
33,"netAccess(mgPLC,_,_)","OR",0
34,"RULE 8 (multi-hop access)","AND",1
35,"hacl(genPLC,mgPLC,_,_)","LEAF",1
36,"RULE 8 (multi-hop access)","AND",1
37,"RULE 8 (multi-hop access)","AND",1
38,"hacl(mainPLC,mgPLC,_,_)","LEAF",1
39,"RULE 8 (multi-hop access)","AND",1
40,"hacl(sPLC,mgPLC,_,_)","LEAF",1
41,"execCode(sPLC,root)","OR",0
42,"RULE 5 (remote exploit of a server program)","AND",0.2
43,"netAccess(sPLC,_,_)","OR",0
44,"RULE 8 (multi-hop access)","AND",1
45,"hacl(genPLC,sPLC,_,_)","LEAF",1
46,"RULE 8 (multi-hop access)","AND",1
47,"RULE 8 (multi-hop access)","AND",1
48,"hacl(mainPLC,sPLC,_,_)","LEAF",1
49,"RULE 8 (multi-hop access)","AND",1
50,"hacl(mgPLC,sPLC,_,_)","LEAF",1
51,"RULE 8 (multi-hop access)","AND",1
52,"execCode(mgPLC,user)","OR",0
53,"RULE 5 (remote exploit of a server program)","AND",0.2
54,"networkServiceInfo(mgPLC,dropbearssh,_,_,user)","LEAF",1
55,"cvss(cve2012_6068,h)","LEAF",1
56,"vulExists(mgPLC,cve2012_6068,dropbearssh,remoteExploit,privEscalation)","LEAF",1
57,"RULE 5 (remote exploit of a server program)","AND",0.2
58,"vulExists(mgPLC,cve2016_7406,dropbearssh,remoteExploit,privEscalation)","LEAF",1
59,"RULE 5 (remote exploit of a server program)","AND",0.2
60,"vulExists(mgPLC,cve2016_7407,dropbearssh,remoteExploit,privEscalation)","LEAF",1
61,"RULE 5 (remote exploit of a server program)","AND",0.2
62,"vulExists(mgPLC,cve2016_7408,dropbearssh,remoteExploit,privEscalation)","LEAF",1
63,"RULE 8 (multi-hop access)","AND",1
64,"hacl(scadaWorkStation,sPLC,_,_)","LEAF",1
65,"execCode(scadaWorkStation,user)","OR",0
66,"RULE 3 (Reuse of credentials)","AND",0.8
67,"canAccessHost(scadaWorkStation)","OR",0
68,"RULE 12 (Access a host through a log-in service)","AND",1
69,"netAccess(scadaWorkStation,rdpProtocol,rdpPort)","OR",0
70,"RULE 9 (direct network access)","AND",1
71,"hacl(intranet,scadaWorkStation,rdpProtocol,rdpPort)","LEAF",1
72,"attackerLocated(intranet)","LEAF",1
73,"logInService(scadaWorkStation,rdpProtocol,rdpPort)","OR",0
74,"RULE 18 (RDP is a login service)","AND",1
75,"networkServiceInfo(scadaWorkStation,rdpd,rdpProtocol,rdpPort,user)","LEAF",1
76,"hasAccount(scadaOperator,scadaWorkStation,user)","LEAF",1
77,"principalCompromised(scadaOperator)","OR",0
78,"RULE 15 (target incompetent user)","AND",0.5
79,"inCompetent(scadaOperator)","LEAF",1
80,"RULE 5 (remote exploit of a server program)","AND",0.2
81,"netAccess(scadaWorkStation,smbProtocol,smbPort)","OR",0
82,"RULE 9 (direct network access)","AND",1
83,"hacl(intranet,scadaWorkStation,smbProtocol,smbPort)","LEAF",1
84,"networkServiceInfo(scadaWorkStation,smbServer,smbProtocol,smbPort,user)","LEAF",1
85,"cvss(cve2017_0144,h)","LEAF",1
86,"vulExists(scadaWorkStation,cve2017_0144,smbServer,remoteExploit,privEscalation)","LEAF",1
87,"RULE 8 (multi-hop access)","AND",1
88,"hacl(tPLC,sPLC,_,_)","LEAF",1
89,"execCode(tPLC,root)","OR",0
90,"RULE 5 (remote exploit of a server program)","AND",0.2
91,"netAccess(tPLC,_,_)","OR",0
92,"RULE 8 (multi-hop access)","AND",1
93,"hacl(genPLC,tPLC,_,_)","LEAF",1
94,"RULE 8 (multi-hop access)","AND",1
95,"RULE 8 (multi-hop access)","AND",1
96,"hacl(mainPLC,tPLC,_,_)","LEAF",1
97,"RULE 8 (multi-hop access)","AND",1
98,"hacl(mgPLC,tPLC,_,_)","LEAF",1
99,"RULE 8 (multi-hop access)","AND",1
100,"RULE 8 (multi-hop access)","AND",1
101,"hacl(sPLC,tPLC,_,_)","LEAF",1
102,"RULE 8 (multi-hop access)","AND",1
103,"execCode(sPLC,user)","OR",0
104,"RULE 5 (remote exploit of a server program)","AND",0.2
105,"networkServiceInfo(sPLC,dropbearssh,_,_,user)","LEAF",1
106,"vulExists(sPLC,cve2016_7406,dropbearssh,remoteExploit,privEscalation)","LEAF",1
107,"RULE 5 (remote exploit of a server program)","AND",0.2
